,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
32054,Bacteria,,Cyanobacteria,,Nostocales,Rivulariaceae,Calothrix,Calothrix_parietina
33706,Viruses,,,,Herpesvirales,Herpesviridae,,Caviid_herpesvirus_2
39152,Archaea,,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus_maripaludis
50290,Viruses,,,,Herpesvirales,Herpesviridae,Cytomegalovirus,Aotine_herpesvirus_1
79885,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_pseudofirmus
135487,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia_cyriacigeorgica
142864,Bacteria,,Cyanobacteria,,Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum_stagnale
216936,Bacteria,,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma_diminutum
1094892,Viruses,,,,,Mimiviridae,,Megavirus_chiliensis
1337868,,,,,,,,Expression_vector_pAAV-Syn-Rluc
1474867,Viruses,,,,,Phycodnaviridae,,Aureococcus_anophagefferens_virus
159,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira_hyodysenteriae
174,Bacteria,,Spirochaetes,Spirochaetia,,Leptospiraceae,Leptospira,Leptospira_borgpetersenii
212,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_acinonychis
588,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Providencia_stuartii
1229,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus_oceani
1452,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_atrophaeus
9796,Eukaryota,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus_caballus
40269,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio_salmonicida
50052,Bacteria,,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_crocodyli
62140,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium_multivorum
85007,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,,,
93466,Bacteria,,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium_pennivorans
101385,Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita_sublithincola
157673,Bacteria,,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia,[Mannheimia]_succiniciproducens
301301,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_hominis
312279,Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,Emticicia_oligotrophica
317878,Viruses,,,,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid_herpesvirus_2
402769,,,,,,,,Expression_vector_pcDNA3-hFIX
483537,Viruses,,,,,,,Alternaria_alternata_virus_1
748811,Bacteria,,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Sulfuritalea,Sulfuritalea_hydrogenivorans
1175444,Archaea,,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella_conradii
1162,Bacteria,,Cyanobacteria,,Nostocales,Nostocaceae,,
2033,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium_testaceum
2180,Archaea,,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,Methanothermus_fervidus
10292,Viruses,,,,Herpesvirales,Herpesviridae,,
43674,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Jonesiaceae,Jonesia,Jonesia_denitrificans
257758,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_pseudopneumoniae
511435,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,,Candidatus_Azobacteroides,Candidatus_Azobacteroides_pseudotrichonymphae
742013,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia_sp._Cs1-4
1076255,Viruses,,,,,Poxviridae,Orthopoxvirus,Yoka_poxvirus
1173026,Bacteria,,Cyanobacteria,,Chroococcales,,Gloeocapsa,Gloeocapsa_sp._PCC_7428
1367203,Viruses,,,,,Baculoviridae,Alphabaculovirus,Hemileuca_sp._nucleopolyhedrovirus
128,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Isosphaera,Isosphaera_pallida
139,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella_burgdorferi
405,Bacteria,,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylobacillus,Methylobacillus_flagellatus
870,Bacteria,,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter_nodosus
999,Bacteria,,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,Flexibacter_litoralis
1386,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
7227,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila_melanogaster
10320,Viruses,,,,Herpesvirales,Herpesviridae,Varicellovirus,Bovine_herpesvirus_1
10325,Viruses,,,,Herpesvirales,Herpesviridae,Simplexvirus,Macacine_herpesvirus_1
10685,Viruses,,,,Caudovirales,Myoviridae,Spo1virus,Bacillus_virus_SPO1
35254,Viruses,,,,,Baculoviridae,Betabaculovirus,Cryptophlebia_leucotreta_granulovirus
37692,Bacteria,,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Candidatus_Phytoplasma_mali
53358,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium,Intrasporangium_calvum
150340,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_antiquarius
290400,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,Jannaschia_sp._CCS1
373994,Bacteria,,Cyanobacteria,,Nostocales,Rivulariaceae,Rivularia,Rivularia_sp._PCC_7116
490711,Viruses,,,,,Baculoviridae,Alphabaculovirus,Orgyia_leucostigma_NPV
1007105,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,Pusillimonas_sp._T7-7
1043695,,,,,,,,Cloning_vector_pEF-FS-EGFP-dneo
1131707,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Sphaerochaeta_pleomorpha
2093,Bacteria,,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,
33581,Eukaryota,Metazoa,Chordata,Aves,Ciconiiformes,Scopidae,Scopus,Scopus_umbretta
37487,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,Marichromatium_purpuratum
118797,Eukaryota,Metazoa,Chordata,Mammalia,Cetacea,Lipotidae,Lipotes,Lipotes_vexillifer
166056,Viruses,,,,,Baculoviridae,Betabaculovirus,Epinotia_aporema_granulovirus
208013,Viruses,,,,,Baculoviridae,Alphabaculovirus,Agrotis_ipsilon_multiple_nucleopolyhedrovirus
258224,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_resistens
324057,Bacteria,,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_sp._JDR-2
511062,Bacteria,,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,Oceanimonas_sp._GK1
1117645,Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia,Elizabethkingia_anophelis
1513235,Viruses,,,,,Mimiviridae,Cafeteriavirus,Cafeteria_roenbergensis_virus
51337,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Dipodidae,Jaculus,Jaculus_jaculus
79684,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus_ochrogaster
171695,Bacteria,,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,Thermodesulfatator_indicus
648999,Bacteria,,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora_sp._L5
756282,Viruses,,,,Caudovirales,Siphoviridae,,Cellulophaga_phage_phiST
217,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_mustelae
228,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas_haloplanktis
234,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,
237,Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
238,Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia,Elizabethkingia_meningoseptica
379,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,
442,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter_oxydans
544,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,
546,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_freundii
547,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,
563,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shimwellia,Shimwellia_blattae
582,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,Morganella_morganii
590,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,
636,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella_tarda
648,Bacteria,,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas_caviae
654,Bacteria,,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas_veronii
662,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
668,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio_fischeri
729,Bacteria,,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_parainfluenzae
803,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella_quintana
823,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides_distasonis
1018,Bacteria,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga_ochracea
1052,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Halorhodospira_halochloris
1129,Bacteria,,Cyanobacteria,,Chroococcales,,Synechococcus,
1244,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc_gelidum
1299,Bacteria,,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_radiodurans
1308,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus
1309,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mutans
1318,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis
1346,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_iniae
1348,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parauberis
1385,Bacteria,,Firmicutes,Bacilli,Bacillales,,,
1408,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_pumilus
1493,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium_cellulovorans
1578,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
1596,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_gasseri
1637,Bacteria,,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,
1642,Bacteria,,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_innocua
1643,Bacteria,,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria_welshimeri
1727,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_variabile
1744,Bacteria,,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium_freudenreichii
1750,Bacteria,,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium_propionicum
1833,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_erythropolis
2020,Bacteria,,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Thermomonospora,Thermomonospora_curvata
2110,Bacteria,,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_agalactiae
2421,Bacteria,,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,Thermosipho_africanus
3415,Eukaryota,Viridiplantae,Streptophyta,,Magnoliales,Magnoliaceae,Liriodendron,Liriodendron_tulipifera
3659,Eukaryota,Viridiplantae,Streptophyta,,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis_sativus
4155,Eukaryota,Viridiplantae,Streptophyta,,Lamiales,Phrymaceae,Erythranthe,Erythranthe_guttata
4573,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Aegilops,Aegilops_speltoides
4577,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Zea,Zea_mays
4628,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna_indica
4641,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Musaceae,Musa,Musa_acuminata
5017,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_zeicola
5147,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Sordaria,Sordaria_macrospora
6945,Eukaryota,Metazoa,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,Ixodes_scapularis
10042,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus_maniculatus
10663,Viruses,,,,Caudovirales,Myoviridae,T4likevirus,
13333,Eukaryota,Viridiplantae,Streptophyta,,Amborellales,Amborellaceae,Amborella,Amborella_trichopoda
28172,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_metschnikovii
28173,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_nigripulchritudo
28221,Bacteria,,Proteobacteria,Deltaproteobacteria,,,,
28231,Bacteria,,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,
28264,Bacteria,,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium_haemolyticum
29471,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium_atrosepticum
29549,Bacteria,,Bacteroidetes,,Bacteroidetes_Order_II._Incertae_sedis,Rhodothermaceae,Rhodothermus,Rhodothermus_marinus
29760,Eukaryota,Viridiplantae,Streptophyta,,Vitales,Vitaceae,Vitis,Vitis_vinifera
33072,Bacteria,,Cyanobacteria,Gloeobacteria,Gloeobacterales,,Gloeobacter,Gloeobacter_violaceus
33940,Bacteria,,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_thermodenitrificans
33964,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc_citreum
34203,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Marantaceae,Maranta,Maranta_leuconeura
37919,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_opacus
38289,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_jeikeium
38596,Eukaryota,Viridiplantae,Streptophyta,,Lamiales,Lamiaceae,Ajuga,Ajuga_reptans
40542,Bacteria,,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia_buccalis
42345,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Arecales,Arecaceae,Phoenix,Phoenix_dactylifera
42862,Bacteria,,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_felis
44674,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Sulfurospirillum_barnesii
46429,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium_chlorophenolicum
50236,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Butomaceae,Butomus,Butomus_umbellatus
51669,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus_halophilus
52838,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Musaceae,Musa,Musa_balbisiana
55577,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Dioscorea_rotundata
56765,Bacteria,,,,,,,uncultured_marine_bacterium
59310,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_macedonicus
60478,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_amazonensis
67825,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter_rodentium
69966,Bacteria,,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus_caseolyticus
73919,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XVII._Incertae_Sedis,Thermaerobacter,Thermaerobacter_marianensis
75697,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella,Castellaniella_defragrans
76892,Bacteria,,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
77775,Viruses,,,,Caudovirales,Myoviridae,Felixounalikevirus,Salmonella_phage_FelixO1
78327,Bacteria,,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mosselii
82996,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia_plymuthica
83406,Bacteria,,Proteobacteria,Gammaproteobacteria,,,,gamma_proteobacterium_HdN1
83618,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,
84112,Bacteria,,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella_lenta
84566,Bacteria,,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,
85006,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,,,
88688,Bacteria,,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter_segnis
89061,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella_thailandensis
89151,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Musaceae,Musa,Musa_x_paradisiaca
89184,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria_pomeroyi
90627,Bacteria,,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,,
131568,Bacteria,,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,Kineococcus_radiotolerans
133539,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,Nitrosococcus_halophilus
135577,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina_loihiensis
138336,Bacteria,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus_saxobsidens
138563,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_cetorum
150055,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_lutetiensis
151895,Bacteria,,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pseudopedobacter,Pseudopedobacter_saltans
152475,Bacteria,,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio_thiocyanoxidans
156978,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_imitans
157791,Eukaryota,Viridiplantae,Streptophyta,,Fabales,Fabaceae,Vigna,Vigna_radiata
159450,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_sacchari
160808,Bacteria,,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus_ferrivorans
164608,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_sp._KA1
165695,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
167642,Bacteria,,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Ilyobacter_polytropus
169292,Bacteria,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_aurimucosum
171284,Bacteria,,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_cynos
171549,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,,,
184914,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus_coralloides
187493,Bacteria,,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Thalassolituus,Thalassolituus_oleivorans
193516,Eukaryota,Viridiplantae,Streptophyta,,Rosales,Elaeagnaceae,Hippophae,Hippophae_rhamnoides
196914,Bacteria,,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes_friuliensis
204457,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
208439,Bacteria,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis_japonica
212663,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_tasmaniensis
213849,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,,,
215158,Viruses,,,,Caudovirales,Podoviridae,Epsilon15likevirus,Salmonella_phage_epsilon15
215689,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_sp._Ejp617
216778,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_rhizophila
228183,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Zingiberales,Musaceae,Musa,Musa_textilis
232721,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax_sp._JS42
256618,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Parvibaculum,Parvibaculum_lavamentivorans
256701,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter_arilaitensis
284016,Bacteria,,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium_zucineum
290399,Bacteria,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter_sp._FB24
309887,Bacteria,,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_maricopensis
310783,Bacteria,,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus_deserti
315405,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_gallolyticus
321327,Bacteria,,Cyanobacteria,,Chroococcales,,Synechococcus,Synechococcus_sp._JA-3-3Ab
332056,Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium_japonicum
338565,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia_tasmaniensis
359303,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_loihica
364410,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter_bethesdensis
366648,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas_fuscans
370405,Bacteria,,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella,Gallionella_capsiferriformans
396313,Eukaryota,Viridiplantae,Streptophyta,,Gentianales,Apocynaceae,Rhazya,Rhazya_stricta
397884,Bacteria,,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_sp._04Ya090
400668,Bacteria,,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas_sp._MWYL1
400682,Eukaryota,Metazoa,Porifera,Demospongiae,Haplosclerida,Niphatidae,Amphimedon,Amphimedon_queenslandica
