,AR4040,AR4041,AR4042,AR4043,AR4044,AR4045,AR4046,AR4047,AR4048,AR4049,AR4120,AR4121,AR4122,AR4123,AR4124,AR4125,AR4126,AR4127,AR4128,AR4129,AR4151,AR4152,AR4153,AR4154,AR4155,AR4156,AR4157,AR4158,AR4159,AR4160,AR4161,AR4162,AR4163,AR4164,MKAN003341,MKAN003342,MKAN003343,MKAN003344,MKAN003345,MKAN003346,MKAN003347,MKAN003348,MKAN003432,MKAN003433,MKAN003434,MKAN003435,MKAN003436,MKAN003437,MKAN003438,MKAN003439,MKAN003440,MKAN003441,MKAN003479,MKAN003480,MKAN003481,MKAN003482,MKAN003483,MKAN003484,MKAN003485,MKAN003486,MKAN003487,MKAN003689,MKAN003690,MKAN003691,MKAN003692,MKAN003694,MKAN003695,MKAN003696,MKAN003697,MKAN003754,MKAN003755,MKAN003756,MKAN003757,MKAN003758,MKAN003759,MKAN003760,MKAN003761,MKAN003762,MKAN003789,MKAN003790,MKAN003791,MKAN003792,MKAN003793,MKAN003794,MKAN003795,MKAN003796,MKAN003963
384,18,0,2,6,0,0,0,31,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,50,0,0,39,4,0,13,0,0,207,6,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,50,8,2,0,2,2,16,0,12,0,4,0,0,0,2,16,0,4,6,3,4,7,0,73,4,0,0,97,0
450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,8,0,0,0,0,0,0,96,0,0,10,28,2,4,7,36,0,0,0,0,2,0,0,0,4,0,11,21,0,587,0,20,124,0,0,32,0,16,199,0,7,0,4,44,0,0,12,0,0,2,0,0,0,0,0,0,21,0,83,29,0,0,0,56,186,0,346,0,0,2,0,2,4,35,86,44,20,204,21,65,184,113,149,2,0,34,0
517,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,0,5,0,0,281,0,0,29,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,0,4,56,0,12,0,0,0,0,2,0,45,44,5,0,158,0,34,37,116,61,0,4,4,0
521,14,0,0,0,0,4,5,52,0,0,0,18,5,0,3,19,0,4,0,0,0,0,0,0,15,0,4,0,0,183,0,0,0,4,2,22,0,3,313,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2,0,77,19,0,0,0,5,68,0,108,0,0,17,0,0,41,115,102,135,25,17,0,68,101,120,32,29,8,19,0
536,16,0,0,7,2,0,2,53,0,0,18,0,0,0,0,35,0,0,2,2,0,0,4,0,0,0,0,2,0,104,0,0,12,0,2,11,0,0,80,0,0,0,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,152,0,94,4,2,2,0,0,20,12,9,15,6,172,28,0,18,2,91,0,6,96,2
545,2,0,0,2,0,0,0,9,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,57,2,0,5,2,0,2,0,0,19,0,0,2,6,11,0,0,2,0,0,0,0,0,0,2,0,0,0,0,14,87,2,0,0,10,12,0,17,2,0,2,0,0,0,11,8,8,6,29,0,6,6,2,2,0,8,6,2
548,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,2,0,0,2,0,0,0,12,2,0,4,4,0,0,0,4,0,0,2,13,0
554,13,0,0,0,0,0,0,46,0,0,13,0,0,16,0,0,0,9,7,0,0,0,0,0,19,0,0,0,0,0,0,0,82,0,0,15,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,27,36,0,0,0,0,7,0,0,0,56,119,20,19,0,0,0,0,99,0,0,4,0,0
562,9,0,0,26,2,0,0,17,0,6,23,0,0,25,0,19,144,0,1,1,26,3,0,2,11,4,95,0,8,397,3,4,42,6,2,7,1,26,30,6,10,5,6,26,0,12,0,0,8,0,10,2,16,49,7,16,0,20,139,47,15,0,4,44,68,1,282,11,11,22,9,14,10,48,53,4,12,177,4,224,89,95,166,9,2,32,0
