,AR4040,AR4041,AR4042,AR4043,AR4044,AR4045,AR4046,AR4047,AR4048,AR4049,AR4120,AR4121,AR4122,AR4123,AR4124,AR4125,AR4126,AR4127,AR4128,AR4129,AR4151,AR4152,AR4153,AR4154,AR4155,AR4156,AR4157,AR4158,AR4159,AR4160,AR4161,AR4162,AR4163,AR4164,MKAN003341,MKAN003342,MKAN003343,MKAN003344,MKAN003345,MKAN003346,MKAN003347,MKAN003348,MKAN003432,MKAN003433,MKAN003434,MKAN003435,MKAN003436,MKAN003437,MKAN003438,MKAN003439,MKAN003440,MKAN003441,MKAN003479,MKAN003480,MKAN003481,MKAN003482,MKAN003483,MKAN003484,MKAN003485,MKAN003486,MKAN003487,MKAN003689,MKAN003690,MKAN003691,MKAN003692,MKAN003694,MKAN003695,MKAN003696,MKAN003697,MKAN003754,MKAN003755,MKAN003756,MKAN003757,MKAN003758,MKAN003759,MKAN003760,MKAN003761,MKAN003762,MKAN003789,MKAN003790,MKAN003791,MKAN003792,MKAN003793,MKAN003794,MKAN003795,MKAN003796,MKAN003963
62099,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62928,0,0,0,0,7,0,0,57,0,0,0,4,2,0,2,38,0,2,0,0,0,0,0,0,23,0,34,0,0,45,0,0,34,18,0,14,0,27,88,0,8,4,10,56,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,25,30,0,82,0,0,31,0,2,0,33,6,0,4,39,0,223,31,193,69,0,23,54,0
78587,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,17,0,0,0,0,0,0,0,0,0,0
138072,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,12,21,12,8,0,18,0,0,2,20,0,0,6,0,0,0,0,0,0,3,0,0,0,0,21,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,2,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
158899,0,0,0,0,7,0,0,44,0,0,0,0,0,12,0,49,0,0,0,0,2,15,0,0,25,0,6,4,0,197,6,0,76,15,20,35,0,14,207,0,6,6,13,47,4,8,7,0,0,0,0,0,0,0,6,0,0,0,21,34,16,17,0,62,168,6,150,10,15,6,0,0,23,153,88,53,32,110,0,69,94,193,15,29,2,25,0
184917,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
198431,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
204441,0,0,0,0,10,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,16,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,31,0,0,0,0,0,0,0,0,155,101,93,0,80,0,0,0,134,0,0,0,82,0
204773,0,0,0,0,2,0,0,50,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,6,15,0,0,2,0,0,69,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,11,0,0,0,4,0,70,0,0,4,0,2,0,75,28,6,9,22,0,0,74,9,6,11,0,34,0
223967,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,4,0,9,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,30,0,2,0,0,0,0,0,0,41,22,2,0,29,0,49,0,193,17,0,56,2,0
296591,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,8,0,2,0,0,0,33,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,2,24,0,6,2,0,0,0,0,8,18,0,5,0,0,0,0,20,12,0,0,0,0,0
404589,0,0,0,0,15,0,0,87,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,78,0,0,0,0,0,2,0,0,8,0,44,0,0,0,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,65,0,101,0,0,40,0,0,0,99,55,56,37,2,11,0,0,55,0,0,0,96,0
410330,0,0,0,0,9,0,3,0,0,22,0,0,0,11,0,0,17,4,20,0,41,0,0,41,31,9,18,4,31,0,5,16,0,0,2,10,0,3,6,4,3,0,18,11,8,9,0,30,2,22,18,38,0,4,5,17,0,0,4,8,58,4,10,39,0,0,0,8,0,0,10,0,0,0,0,0,10,0,21,0,0,0,0,11,12,0,0
593909,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,21,6,2,0,0,2,0
861299,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,24,0,18,0,0,9,0,0,0,15,43,4,54,26,0,129,0,14,0,0,0,0,0
936476,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1176649,0,0,0,0,36,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,2,47,2,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,26,2,15,0,0,4,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,25,0,0,0
1203599,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,16,0,0,0,70,20,0,0,0,0,0,0,0,0,0,0,0,0
1379159,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,2,0,0,2,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,2,0,0,0,0,4,0,6,0,0,0,0,2,0,0,0,0,0,7,0,3,0,5,0,2,0,0,0
1639108,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,31,0,0,0,0,0,0,0
533,0,0,0,0,0,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,34,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0
1396,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,2,4,0,0,17,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
3635,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,26,0,0,0,0,0,0,0,0,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,9,13,0,0,4,2,56,27,7,9,0,6,0,0,7,0,0,0,66,5,4,9,12,0,0,15,0,0,0,0,0,0,0
9483,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,4,0,0,0,2,11,4,3,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0
11612,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,9,0,0,0,0,9,0,0,0,0,8,21,0,0,0,0,7,0,0,23,0,3,0,0,0,4,21,0,2,0,0,0,0,0,12
29447,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,39,0,0,0,0,7,0,8,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,5,0,0,6,0,0,0,0,2,0,3,4,0,0,34,0,0,0,19,4,0,2,14,0
29501,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35306,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0
65093,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,45,0,0,0,31,0,0,26,0,0,10,18,0,0,0,0,18,0,0,0,0,0,4,0,0,0,0,8,0,0,0,6,14,0,9,3,0,14,0,0,0,0,0,0,18,0,0,0,0,0,4,17,45,11,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,10
69328,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,35,0,0,14,0,0,4,0,0,88,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,6,0,0,2,11,0,0,4,32,9,4,5,0,18,8,12,9,0,0,4,0
80679,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,8,0,0,0,0,0,0,36,4,0,0,0,0
86662,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
134676,0,0,0,0,0,5,0,0,0,0,0,0,0,16,6,2,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,10,0,0,0,0,2,0,4,2,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,0,5,6,0,0,0,0,0,0,0,0,6
153948,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,107,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,23,0,0,2,0,17,37,4,0,0,0,0,0
158327,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,11,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,4,0,9,0,0,0,0,0,0,0,0,0,0
173480,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,11,0,19,0,0,88,0,0,57,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,24,4,0,0,8,11,0,0,5,0,30,0,0,0,0,7,0,38,0,0,26,0,0,0,18,10,0,0
192073,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192843,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,2,0,0,0,0,0,235,0,0,74,0,0,0,0,4,135,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,19,2,0,7,0,0,0,141,18,13,0,46,0,33,13,23,2,0,8,93,0
224719,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,4,0,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
292566,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,31,44,0,0,9,0,0,0,0,0,5,36,0
354356,0,0,0,0,0,2,0,0,0,13,0,4,0,0,0,0,47,7,0,0,8,9,0,7,10,16,0,23,0,0,10,34,0,0,0,0,0,0,0,0,2,0,0,18,22,10,0,0,4,0,0,24,0,0,6,6,0,11,0,0,0,0,0,16,0,0,0,0,12,0,42,0,0,2,0,0,18,0,8,0,5,0,0,0,0,0,0
453230,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,35,11,0,0,0,0,3,0
687358,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691437,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,26,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764348,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,8,4,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,14,7,0,5,5,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,7,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0
1821749,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,34,0,0,4,0,0,0,0,0,4,0,2,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,2,0,0,1,0,0,0,0,9,0,20,7,0,0,0,5,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0
485,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,203,0,4,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,24,0,0,0,0,21,0,57,6,0,8,0,0,2,4,0,15,0,6,0,14,12,2,12,0,0,16,0
633,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,24,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,13,0,0,4,10,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0
731,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10,16,0,0,0,0,5,0,0,7,0,0,0,0,6,0,0,9,0,2,4,0,21,0,2,0,0,2,1,0,0,0,0,0,6,12,0,2,0,4,2,0,0,0,0,2,8,3,9,0,8,4,5,0,0,3,3,2
920,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,419,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,17,28,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,45,0,21,0,26,0,0,4,0,0,0,0
996,0,0,0,0,0,0,12,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,0,0,8,0,0,0,0,2,0,4,39,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,11,0,0,0,2,0,0,0,0,0,53,0,0,9,2,0,6,21,18,35,0,0,0,0
1126,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
1624,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0
10317,0,0,0,0,0,0,11,0,0,31,0,0,0,8,0,0,27,0,0,0,8,0,14,45,29,12,0,0,0,0,6,17,56,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,43,27,0,10,0,0,0,0,0,0,0,0,15,11,0,5,38,2,51,0,63,29,0,0,6,11,0,5,0,0,0,0,0,0,3,0,0
28037,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,19,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,6,0,0,0,0,0,0,4,6,0,0,2,0,0,0,0,0,0,0,2,0
28104,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,33,0,0,0,0,0,0,0,0,0
28883,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43675,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,2,2,2,0,0,0,0,2,0,2,0,2,0,0,0,4,0,0,0,0,0
46354,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,48,4,0,0,0,0,0,5,8,0,0,0,0,0,0,2,10,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,6,3,4,0,27,0,12,0,0,0,0,0,0,0,6
80866,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,103,0,2,13,0,0,0,0,0,47,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,7,0,0,6,0,0,0,2,6,0,10,0,0,0,0,0,0,4,6,2,0,40,0,83,2,19,0,0,0,28,0
114615,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,14,6,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,5,0,0,0,0,0
305674,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
502394,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,16,0
548681,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,17,17,0,2,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,6,0,8,2,2,0,0,0,0,0,0,2,0,0,0,0,0
1027232,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538644,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775411,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,19,0,0,2,0,0,4,7,0,6,0,16,4,32,0,2,4,0,2,0,0
7,0,0,0,0,0,0,0,43,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,6,0,0,0,8,86,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,2,0,0,42,0,72,0,0,2,0,0,2,2,2,4,0,8,0,37,4,76,4,0,0,0,0
22,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,33,0,4,0,0,2,0,0,4,0,0,0,0,0,96,6,0,54,0,17,0,0,31,171,0,24,0,0,23,2,0,0,0,9,0,0,2,0,0,0,19,0,0,69,37,0,0,0,0,26,0,40,0,6,0,0,0,2,69,2,43,0,81,4,25,14,141,49,0,32,6,0
354,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,8,6,0,0,7,0,6,91,0,0,0,0,38,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,17,2,6,0,24,7,0,18,0,0,0,0,0,0,80,8,82,14,9,0,0,32,87,14,3,24,49,0
356,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,29,0,0,0,0,0,0,3,4,0,0,2,0,0,63,0,4,9,6,0,0,0,0,78,2,8,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,12,46,2,54,4,0,0,0,0,5,8,50,24,0,39,0,58,151,84,6,0,8,13,0
375,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,10,0,20,0,15,0,0,0,0,0
398,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,57,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,2,41,0,0,13,24,2,0,0,0,0
